Date,Close/Last,Volume,Open,High,Low,,
26/01/2023,19.802,489535400,19.701,20.166,19.278,,
27/01/2023,20.365,542142000,19.462,20.628,19.405,,
30/01/2023,19.162,488611200,19.95,20.14,19.15,,
31/01/2023,19.537,498016600,19.1695,19.687,18.95,,
01/02/2023,20.943,660477000,19.691,21.192,19.611,,
02/02/2023,21.709,564275800,21,21.949,20.7,,
03/02/2023,21.1,429366000,21,21.745,20.789,,
06/02/2023,21.089,452197100,20.806,21.57,20.786,,
07/02/2023,22.173,664149600,21.382,22.259,21.15,,
08/02/2023,22.205,559651200,22.387,22.878,22.008,,
09/02/2023,22.337,523875800,22.606,23.02,22.12,,
10/02/2023,21.265,550736800,21.69,22.0776,20.811,,
13/02/2023,21.788,474918600,21.538,22.048,20.962,,
14/02/2023,22.971,675473500,21.578,23.0488,21.366,,
15/02/2023,22.764,421188300,22.549,22.855,22.106,,
16/02/2023,22.002,412026300,22.133,22.55,21.9268,,
17/02/2023,21.388,465887600,21.631,21.74,20.975,,
21/02/2023,20.655,410014600,21,21.4938,20.618,,
22/02/2023,20.754,513184300,20.707,21.104,20.421,,
23/02/2023,23.664,1117995000,23.44,23.888,23.025,,
24/02/2023,23.286,589715900,23.225,23.474,22.947,,
27/02/2023,23.501,452993700,23.67,23.8799,23.454,,
28/02/2023,23.216,455962800,23.372,23.825,23.206,,
01/03/2023,22.698,460025600,23.192,23.2556,22.508,,
02/03/2023,23.314,390074700,22.488,23.3804,22.432,,
03/03/2023,23.89,412393300,23.32,23.9,23.13,,
06/03/2023,23.554,437429200,23.891,24.248,23.487,,
07/03/2023,23.288,515153900,23.6,24.125,23.241,,
08/03/2023,24.181,513573400,23.487,24.2,23.4235,,
09/03/2023,23.436,501257000,24.175,24.454,23.3828,,
10/03/2023,22.965,474865700,23.409,23.627,22.726,,
13/03/2023,22.966,421890300,22.752,23.298,22.297,,
14/03/2023,24.063,474910100,23.496,24.219,23.46,,
15/03/2023,24.228,524485700,23.761,24.286,23.36,,
16/03/2023,25.541,584946300,24.027,25.588,23.894,,
17/03/2023,25.725,848546600,25.982,26.399,25.668,,
20/03/2023,25.9,432747200,25.615,26.024,25.1298,,
21/03/2023,26.199,547407800,26.18,26.392,25.381,,
22/03/2023,26.468,797295100,26.425,27.589,26.237,,
23/03/2023,27.191,564888800,27.1155,27.499,26.69,,
24/03/2023,26.779,455414100,27.031,27.167,26.355,,
27/03/2023,26.531,361025700,26.837,27,26.365,,
28/03/2023,26.41,356103800,26.447,26.513,25.85,,
29/03/2023,26.984,393693900,26.825,27.078,26.597,,
30/03/2023,27.383,364515700,27.229,27.499,27.102,,
31/03/2023,27.777,433932800,27.14,27.8343,27.105,,
03/04/2023,27.965,398715600,27.509,28,27.336,,
04/04/2023,27.453,368591500,27.966,28,27.307,,
05/04/2023,26.881,515014700,26.829,26.998,26.395,,
06/04/2023,27.037,397654300,26.584,27.08,26.427,,
10/04/2023,27.579,395278600,26.823,27.621,26.669,,
11/04/2023,27.169,314378200,27.7235,27.79,27.126,,
12/04/2023,26.495,446259000,27.37,27.468,26.4475,,
13/04/2023,26.463,353615300,26.734,26.8869,26.329,,
14/04/2023,26.758,395660100,26.504,26.883,26.22,,
17/04/2023,27.002,321471300,26.5655,27.006,26.4332,,
18/04/2023,27.667,604811500,27.5335,28.11,27.357,,
19/04/2023,27.931,358660400,27.361,28,27.232,,
20/04/2023,27.104,427713300,27.671,28.03,27,,
21/04/2023,27.119,345102800,26.952,27.183,26.722,,
24/04/2023,27.042,339281900,27.013,27.366,26.671,,
25/04/2023,26.241,378527200,27.078,27.247,26.225,,
26/04/2023,26.956,406336800,27.002,27.33,26.7051,,
27/04/2023,27.226,377161200,27.363,27.495,26.625,,
28/04/2023,27.749,292216100,27.225,27.758,27.0715,,
01/05/2023,28.91,570328500,27.84,29.0584,27.78,,
02/05/2023,28.21,402729600,28.68,28.836,28.083,,
03/05/2023,27.802,383387400,27.84,28.367,27.472,,
04/05/2023,27.562,321850400,27.651,27.859,27.24,,
05/05/2023,28.68,361494100,27.8255,28.755,27.731,,
08/05/2023,29.151,344978900,28.522,29.22,28.35,,
09/05/2023,28.571,314869500,28.899,28.973,28.45,,
10/05/2023,28.885,369350000,29.005,29.113,28.4613,,
11/05/2023,28.578,322149000,28.896,28.95,28.246,,
12/05/2023,28.34,274222300,28.529,28.78,28.046,,
15/05/2023,28.953,293925900,28.5085,28.969,28.152,,
16/05/2023,29.213,449404900,28.841,29.87,28.832,,
17/05/2023,30.178,432535400,29.584,30.199,29.43,,
18/05/2023,31.678,748725000,30.41,31.828,30.32,,
19/05/2023,31.264,473907700,31.536,31.58,30.916,,
22/05/2023,31.176,371999700,30.901,31.52,30.68,,
23/05/2023,30.688,356253300,31,31.288,30.631,,
24/05/2023,30.538,721418500,30.21,30.607,29.806,,
25/05/2023,37.98,1543911000,38.523,39.48,36.635,,
26/05/2023,38.946,714396800,37.89,39.17,37.55,,
30/05/2023,40.111,923401100,40.595,41.938,39.949,,
31/05/2023,37.834,1002580000,39.488,40.295,37.822,,
01/06/2023,39.77,635873000,38.489,40.05,38.34,,
02/06/2023,39.327,482731200,40.097,40.5,39.058,,
05/06/2023,39.171,396093800,38.909,39.565,38.707,,
06/06/2023,38.654,388729100,38.83,39.16,38.148,,
07/06/2023,37.475,511997900,38.915,39.499,37.356,,
08/06/2023,38.51,417772400,37.724,38.864,37.505,,
09/06/2023,38.77,427717500,39.037,39.711,38.567,,
12/06/2023,39.482,389673400,39.2,39.53,38.618,,
13/06/2023,41.022,613208200,40.186,41.101,39.74,,
14/06/2023,42.997,740465000,40.824,43,40.552,,
15/06/2023,42.653,568622000,42.602,43.289,42.147,,
16/06/2023,42.692,655709400,43.45,43.721,42.6605,,
20/06/2023,43.808,451153100,42.998,43.99,42.674,,
21/06/2023,43.045,551602900,43.501,43.615,42.08,,
22/06/2023,43.025,417737400,42.253,43.4255,42.234,,
23/06/2023,42.209,358139800,42.464,42.809,42.015,,
26/06/2023,40.632,594321900,42.461,42.764,40.1,,
27/06/2023,41.876,462174700,40.799,41.94,40.448,,
28/06/2023,41.117,582639300,40.66,41.845,40.518,,
29/06/2023,40.822,380514300,41.558,41.6,40.6,,
30/06/2023,42.302,501147800,41.68,42.55,41.501,,
03/07/2023,42.413,197754100,42.517,42.898,42.202,,
05/07/2023,42.317,323617600,42.135,43.177,42.085,,
06/07/2023,42.103,304138800,41.844,42.179,41.346,,
07/07/2023,42.503,355881500,42.322,43.214,42.18,,
10/07/2023,42.18,353908100,42.657,42.811,41.649,,
11/07/2023,42.405,298244100,42.481,42.758,42.067,,
12/07/2023,43.902,481277000,43.033,43.935,42.7773,,
13/07/2023,45.977,478203700,44.518,46.155,44.492,,
14/07/2023,45.469,772075300,46.5828,48.088,45.06,,
17/07/2023,46.461,510488200,46.289,46.496,45.2624,,
18/07/2023,47.494,570190400,46.701,47.896,45.734,,
19/07/2023,47.077,427501800,47.464,47.818,46.742,,
20/07/2023,45.52,537864500,46.507,47.087,45.062,,
21/07/2023,44.309,963768600,45.788,45.866,44.1,,
24/07/2023,44.612,383099700,44.731,45.109,44.04,,
25/07/2023,45.679,348080900,44.941,46.1825,44.923,,
26/07/2023,45.452,364237300,46.021,46.053,44.63,,
27/07/2023,45.9,455975500,46.519,47.395,45.75,,
28/07/2023,46.75,331194200,46.668,47.027,46.381,,
31/07/2023,46.729,251055300,46.754,47.13,46.506,,
01/08/2023,46.507,239276000,46.4595,46.9,46.027,,
02/08/2023,44.269,530141600,45.831,45.84,43.387,,
03/08/2023,44.515,325076600,43.8,45.118,43.8,,
04/08/2023,44.68,362666200,44.985,45.642,44.393,,
07/08/2023,45.4165,322153500,45.111,45.54,44.5635,,
08/08/2023,44.664,353843400,44.853,45.242,44.056,,
09/08/2023,42.554,586449100,44.274,44.312,42.134,,
10/08/2023,42.388,492705300,42.16,43.574,41.835,,
11/08/2023,40.855,533085300,41.751,42.018,40.639,,
14/08/2023,43.753,690285800,40.486,43.8,40.311,,
15/08/2023,43.94,676511500,44.56,45.268,43.71,,
16/08/2023,43.486,527450700,44.52,44.675,43.406,,
17/08/2023,43.3435,452394800,43.97,44.062,43.001,,
18/08/2023,43.299,583767900,42.635,43.578,41.66,,
21/08/2023,46.967,692573400,44.494,47.065,44.222,,
22/08/2023,45.668,757206900,48.135,48.187,45.3331,,
23/08/2023,47.116,779046100,45.866,47.2,45.208,,
24/08/2023,47.163,1156044000,50.216,50.266,47.159,,
25/08/2023,46.018,925340500,47.012,47.805,45.024,,
28/08/2023,46.835,685192200,46.482,46.98,44.888,,
29/08/2023,48.784,701397000,46.666,49.081,46.391,,
30/08/2023,49.264,735206000,49.044,49.927,48.425,,
31/08/2023,49.355,528569800,49.38,49.744,48.958,,
01/09/2023,48.509,463830300,49.762,49.8,48.1416,,
05/09/2023,48.548,382652600,48.223,48.8508,47.86,,
06/09/2023,47.061,468669600,48.441,48.549,46.58,,
07/09/2023,46.241,433329900,45.525,46.344,45.152,,
08/09/2023,45.572,473899900,45.942,46.606,45.271,,
11/09/2023,45.178,473965600,46.148,46.163,44.312,,
12/09/2023,44.87,349256300,44.738,45.673,44.531,,
13/09/2023,45.485,398355400,44.6,45.93,44.503,,
14/09/2023,45.581,370097200,45.95,45.987,45.131,,
15/09/2023,43.9,506830500,45.341,45.599,43.808,,
18/09/2023,43.966,500270800,42.748,44.242,42,,
19/09/2023,43.52,373064200,43.833,43.966,43.002,,
20/09/2023,42.239,367107700,43.6,43.903,42.223,,
21/09/2023,41.017,450736000,41.583,42.1,40.98,,
22/09/2023,41.61,479236300,41.572,42.115,41.231,,
25/09/2023,42.222,419091000,41.591,42.536,41.177,,
26/09/2023,41.911,402282100,42.001,42.82,41.655,,
27/09/2023,42.468,444935200,42.33,42.872,41.629,,
28/09/2023,43.089,424662800,42.46,43.4463,42.115,,
29/09/2023,43.499,397829900,43.827,44.144,43.3069,,
02/10/2023,44.782,433298200,44.03,45.175,43.861,,
03/10/2023,43.517,470849500,44.808,45.13,43.246,,
04/10/2023,44.041,361820900,43.742,44.143,43.292,,
05/10/2023,44.688,393483100,44.05,44.9,43.888,,
06/10/2023,45.762,434436000,44.193,45.789,44.026,,
09/10/2023,45.273,409674700,44.842,45.605,44.368,,
10/10/2023,45.798,368582100,45.31,46.259,45.088,,
11/10/2023,46.806,378136900,46.196,46.859,46.05,,
12/10/2023,46.945,481325000,46.777,47.609,46.33,,
13/10/2023,45.461,475426000,46.96,47.116,45.28,,
16/10/2023,46.095,375099200,45.063,46.225,44.912,,
17/10/2023,43.938,812332700,44,44.754,42.48,,
18/10/2023,42.196,627294300,42.591,43.219,41.825,,
19/10/2023,42.101,501233100,42.811,43.297,41.882,,
20/10/2023,41.387,477266100,41.89,42.47,41.078,,
23/10/2023,42.975,478530500,41.229,43.248,40.945,,
24/10/2023,43.663,401463400,43.077,43.697,42.691,,
25/10/2023,41.779,398379200,43.398,43.65,41.555,,
26/10/2023,40.326,541001300,41.853,42.2555,39.8802,,
27/10/2023,40.5,416784400,41.13,41.206,40.015,,
30/10/2023,41.161,388028100,41.087,41.766,40.481,,
31/10/2023,40.78,517968700,40.45,40.879,39.23,,
01/11/2023,42.325,437592900,40.884,42.381,40.869,,
02/11/2023,43.506,409171900,43.328,43.884,42.894,,
03/11/2023,45.005,424609600,44.02,45.309,43.723,,
06/11/2023,45.751,400733400,45.2845,45.935,44.899,,
07/11/2023,45.955,343165500,45.719,46.218,45.1575,,
08/11/2023,46.574,346718900,46.1,46.867,45.968,,
09/11/2023,46.95,540496000,47.467,48.23,46.75,,
10/11/2023,48.335,422441600,47.5,48.472,47.283,,
13/11/2023,48.62,384135700,48.32,49.116,48.099,,
14/11/2023,49.656,416953900,49.68,49.834,49.04,,
15/11/2023,48.888,475497400,49.935,49.96,48.2,,
16/11/2023,49.48,339756200,48.679,49.5247,48.33,,
17/11/2023,49.298,325896900,49.524,49.717,49.007,,
20/11/2023,50.409,416142600,49.312,50.548,49.181,,
21/11/2023,49.944,565746900,50.126,50.517,49.222,,
22/11/2023,48.716,900642300,49.852,50.3349,47.69,,
24/11/2023,47.776,294644600,48.47,48.921,47.745,,
27/11/2023,48.242,395661900,47.8,48.53,47.652,,
28/11/2023,47.821,401490900,48.236,48.3229,47.473,,
29/11/2023,48.14,382004700,48.379,48.762,47.86,,
30/11/2023,46.77,526246600,48.024,48.11,46.422,,
01/12/2023,46.765,369317000,46.525,47.2,46.187,,
04/12/2023,45.51,437543400,46.077,46.077,45.01,,
05/12/2023,46.566,371717600,45.466,46.6,45.271,,
06/12/2023,45.503,380589600,47.2145,47.387,45.412,,
07/12/2023,46.596,350822600,45.7,46.629,45.604,,
08/12/2023,47.506,359223700,46.595,47.7409,46.55,,
11/12/2023,46.627,509728100,47.491,47.531,45.83,,
12/12/2023,47.657,372386900,46.046,47.666,46.046,,
13/12/2023,48.088,447791900,47.629,48.594,47.608,,
14/12/2023,48.35,391231700,48.39,48.67,47.422,,
15/12/2023,48.89,479947600,48.194,49.404,48.12,,
18/12/2023,50.077,412587200,49.4,50.433,49.15,,
19/12/2023,49.604,464444500,49.424,49.7,48.895,,
20/12/2023,48.111,397894400,49.655,49.999,48.098,,
21/12/2023,48.99,300425400,48.811,49.095,48.419,,
22/12/2023,48.83,252506800,49.195,49.383,48.467,,
26/12/2023,49.279,244199500,48.968,49.6,48.96,,
27/12/2023,49.417,233648000,49.511,49.68,49.085,,
28/12/2023,49.522,246587500,49.643,49.884,49.412,,
29/12/2023,49.522,389293300,49.813,49.997,48.751,,
02/01/2024,48.168,411254200,49.244,49.295,47.595,,
03/01/2024,47.569,320896200,47.485,48.1841,47.32,,
04/01/2024,47.998,306534900,47.767,48.5,47.508,,
05/01/2024,49.097,415039300,48.462,49.547,48.306,,
08/01/2024,52.253,642509900,49.512,52.275,49.479,,
09/01/2024,53.14,773100100,52.401,54.325,51.69,,
10/01/2024,54.35,533795800,53.616,54.6,53.489,,
11/01/2024,54.822,596758800,54.999,55.346,53.56,,
12/01/2024,54.71,352993600,54.62,54.97,54.3301,,
16/01/2024,56.382,449579700,55.018,56.835,54.9,,
17/01/2024,56.053,474394400,56.347,56.4707,54.74,,
18/01/2024,57.107,491650400,57.26,57.6,56.107,,
19/01/2024,59.491,543501500,57.989,59.5,57.225,,
22/01/2024,59.654,452954600,60.049,60.331,59.07,,
23/01/2024,59.873,294654500,59.57,59.91,58.585,,
24/01/2024,61.362,560270800,60.304,62.849,59.938,,
25/01/2024,61.617,482776800,62.35,62.719,60.85,,
26/01/2024,61.031,390308600,60.96,61.783,60.573,,
29/01/2024,62.465,348733000,61.232,62.489,60.907,,
30/01/2024,62.774,410735300,62.9,63.493,62.26,,
31/01/2024,61.527,453794900,61.44,62.269,60.7,,
01/02/2024,63.027,369145800,62.1,63.191,61.65,,
02/02/2024,66.16,476577700,63.974,66.6,63.69,,
05/02/2024,69.332,680078000,68.225,69.497,67.205,,
06/02/2024,68.223,683111400,69.63,69.754,66.3,,
07/02/2024,70.099,495574600,68.319,70.22,67.6,,
08/02/2024,69.641,414422100,70.074,70.794,69.455,,
09/02/2024,72.133,436636900,70.533,72.185,70.212,,
12/02/2024,72.248,613710200,72.6,74.611,71.25,,
13/02/2024,72.128,602580200,70.4,73.45,69.62,,
14/02/2024,73.9,504917400,73.202,74.236,71.938,,
15/02/2024,72.658,420121800,73.869,73.975,72.4,,
16/02/2024,72.613,495326600,74.1,74.402,72.501,,
20/02/2024,69.452,704833100,71.947,71.956,67.734,,
21/02/2024,67.472,690298100,68.006,68.888,66.248,,
22/02/2024,78.538,865099700,75.025,78.575,74.22,,
